repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
PROMISE,lucene-2.4,camel-1.6,TCA_N2,1,0.56,0,0.577,0,0.349,0,0.123,0
PROMISE,lucene-2.4,camel-1.6,TCA_N3,1,0.618,0,0.456,0,0.163,0,-0.079,0
PROMISE,lucene-2.4,camel-1.6,TCA_N4,1,0.563,0,0.573,0,0.345,0,0.116,0
PROMISE,lucene-2.4,camel-1.6,TCA+_N2,1,0.56,0,0.577,0,0.349,0,0.123,0
PROMISE,camel-1.6,poi-3.0,LR,1,0.407,0,0.462,0,0.358,0,-0.08,0
PROMISE,camel-1.6,poi-3.0,TCA_NoN,1,0.423,0,0.481,0,0.37,0,-0.04,0
PROMISE,camel-1.6,poi-3.0,TCA_N1,1,0.672,0,0.674,0,0.721,0,0.337,0
PROMISE,camel-1.6,poi-3.0,TCA_N2,1,0.532,0,0.564,0,0.547,0,0.126,0
PROMISE,camel-1.6,poi-3.0,TCA_N3,1,0.287,0,0.367,0,0.118,0,-0.34,0
PROMISE,camel-1.6,poi-3.0,TCA_N4,1,0.489,0,0.51,0,0.517,0,0.02,0
PROMISE,camel-1.6,poi-3.0,TCA+_N2,1,0.532,0,0.564,0,0.547,0,0.126,0
PROMISE,poi-3.0,camel-1.6,LR,1,0.625,0,0.569,0,0.332,0,0.114,0
PROMISE,poi-3.0,camel-1.6,TCA_NoN,1,0.545,0,0.48,0,0.242,0,-0.033,0
PROMISE,poi-3.0,camel-1.6,TCA_N1,1,0.464,0,0.56,0,0.343,0,0.099,0
PROMISE,poi-3.0,camel-1.6,TCA_N2,1,0.55,0,0.594,0,0.365,0,0.149,0
PROMISE,poi-3.0,camel-1.6,TCA_N3,1,0.351,0,0.446,0,0.265,0,-0.092,0
PROMISE,poi-3.0,camel-1.6,TCA_N4,1,0.545,0,0.554,0,0.328,0,0.086,0
PROMISE,poi-3.0,camel-1.6,TCA+_N2,1,0.55,0,0.594,0,0.365,0,0.149,0
PROMISE,camel-1.6,synapse-1.2,LR,1,0.543,0,0.584,0,0.51,0,0.162,0
PROMISE,camel-1.6,synapse-1.2,TCA_NoN,1,0.648,0,0.663,0,0.575,0,0.309,0
PROMISE,camel-1.6,synapse-1.2,TCA_N1,1,0.582,0,0.636,0,0.563,0,0.266,0
PROMISE,camel-1.6,synapse-1.2,TCA_N2,1,0.664,0,0.638,0,0.527,0,0.269,0
PROMISE,camel-1.6,synapse-1.2,TCA_N3,1,0.523,0,0.406,0,0.062,0,-0.236,0
PROMISE,camel-1.6,synapse-1.2,TCA_N4,1,0.66,0,0.621,0,0.497,0,0.24,0
PROMISE,camel-1.6,synapse-1.2,TCA+_N1,1,0.582,0,0.636,0,0.563,0,0.266,0
PROMISE,synapse-1.2,camel-1.6,LR,1,0.658,0,0.542,0,0.286,0,0.073,0
PROMISE,synapse-1.2,camel-1.6,TCA_NoN,1,0.476,0,0.527,0,0.312,0,0.044,0
PROMISE,synapse-1.2,camel-1.6,TCA_N1,1,0.476,0,0.568,0,0.348,0,0.11,0
PROMISE,synapse-1.2,camel-1.6,TCA_N2,1,0.582,0,0.571,0,0.34,0,0.114,0
PROMISE,synapse-1.2,camel-1.6,TCA_N3,1,0.597,0,0.506,0,0.256,0,0.01,0
PROMISE,synapse-1.2,camel-1.6,TCA_N4,1,0.577,0,0.552,0,0.32,0,0.083,0
PROMISE,synapse-1.2,camel-1.6,TCA+_N1,1,0.476,0,0.568,0,0.348,0,0.11,0
PROMISE,camel-1.6,velocity-1.6.1,LR,1,0.581,0,0.549,0,0.422,0,0.095,0
PROMISE,camel-1.6,velocity-1.6.1,TCA_NoN,1,0.642,0,0.629,0,0.529,0,0.248,0
PROMISE,camel-1.6,velocity-1.6.1,TCA_N1,1,0.633,0,0.629,0,0.533,0,0.246,0
PROMISE,camel-1.6,velocity-1.6.1,TCA_N2,1,0.651,0,0.633,0,0.529,0,0.257,0
PROMISE,camel-1.6,velocity-1.6.1,TCA_N3,1,0.511,0,0.428,0,0.188,0,-0.156,0
PROMISE,camel-1.6,velocity-1.6.1,TCA_N4,1,0.646,0,0.636,0,0.537,0,0.26,0
PROMISE,camel-1.6,velocity-1.6.1,TCA+_N3,1,0.511,0,0.428,0,0.188,0,-0.156,0
PROMISE,velocity-1.6.1,camel-1.6,LR,1,0.623,0,0.568,0,0.331,0,0.112,0
PROMISE,velocity-1.6.1,camel-1.6,TCA_NoN,1,0.413,0,0.545,0,0.336,0,0.077,0
PROMISE,velocity-1.6.1,camel-1.6,TCA_N1,1,0.625,0,0.6,0,0.367,0,0.161,0
PROMISE,velocity-1.6.1,camel-1.6,TCA_N2,1,0.604,0,0.595,0,0.363,0,0.152,0
PROMISE,velocity-1.6.1,camel-1.6,TCA_N3,1,0.637,0,0.501,0,0.229,0,0.001,0
PROMISE,velocity-1.6.1,camel-1.6,TCA_N4,1,0.62,0,0.601,0,0.368,0,0.162,0
PROMISE,velocity-1.6.1,camel-1.6,TCA+_N2,1,0.604,0,0.595,0,0.363,0,0.152,0
